task,layer,position,mean_auroc,std_auroc,n_seeds,n_train,n_test
A,23,entity,0.5,0.0,3,640,80
A,23,final,1.0,0.0,3,640,80
A,24,entity,0.5,0.0,3,640,80
A,24,final,1.0,0.0,3,640,80
A,25,entity,0.49999999999999994,0.0,3,640,80
A,25,final,1.0,0.0,3,640,80
A,26,entity,0.49999999999999994,0.0,3,640,80
A,26,final,0.9950000000000001,0.0,3,640,80
A,27,entity,0.49999999999999994,0.0,3,640,80
A,27,final,0.988125,0.0,3,640,80
A,28,entity,0.49999999999999994,0.0,3,640,80
A,28,final,0.96875,0.0,3,640,80
A,29,entity,0.5,0.0,3,640,80
A,29,final,0.9737500000000002,1.1102230246251565e-16,3,640,80
A,30,entity,0.5,0.0,3,640,80
A,30,final,0.981875,0.0,3,640,80
A,31,entity,0.5,0.0,3,640,80
A,31,final,0.995625,0.0,3,640,80
A,32,entity,0.5,0.0,3,640,80
A,32,final,0.9962500000000002,1.1102230246251565e-16,3,640,80
A,33,entity,0.5,0.0,3,640,80
A,33,final,0.995625,0.0,3,640,80
A,34,entity,0.5,0.0,3,640,80
A,34,final,0.9968750000000001,0.0,3,640,80
A,35,entity,0.5,0.0,3,640,80
A,35,final,0.9968750000000001,0.0,3,640,80
A,36,entity,0.5,0.0,3,640,80
A,36,final,0.9962500000000002,1.1102230246251565e-16,3,640,80
A,37,entity,0.5,0.0,3,640,80
A,37,final,0.9962500000000002,1.1102230246251565e-16,3,640,80
A,38,entity,0.5,0.0,3,640,80
A,38,final,0.9975,0.0,3,640,80
A,39,entity,0.49999999999999994,0.0,3,640,80
A,39,final,0.9975,0.0,3,640,80
A,40,entity,0.49999999999999994,0.0,3,640,80
A,40,final,0.9975,0.0,3,640,80
A,41,entity,0.5,0.0,3,640,80
A,41,final,0.998125,0.0,3,640,80
A,42,entity,0.5,0.0,3,640,80
A,42,final,0.998125,0.0,3,640,80
A,43,entity,0.5,0.0,3,640,80
A,43,final,0.998125,0.0,3,640,80
A,44,entity,0.5,0.0,3,640,80
A,44,final,0.9987499999999999,0.0,3,640,80
A,45,entity,0.5,0.0,3,640,80
A,45,final,0.9987499999999999,0.0,3,640,80
A,46,entity,0.49999999999999994,0.0,3,640,80
A,46,final,0.9987499999999999,0.0,3,640,80
A,47,entity,0.5,0.0,3,640,80
A,47,final,0.998125,0.0,3,640,80
A,48,entity,0.5,0.0,3,640,80
A,48,final,0.9987499999999999,0.0,3,640,80
A,49,entity,0.5,0.0,3,640,80
A,49,final,0.9987499999999999,0.0,3,640,80
A,50,entity,0.5,0.0,3,640,80
A,50,final,0.9987499999999999,0.0,3,640,80
A,51,entity,0.5,0.0,3,640,80
A,51,final,0.9987499999999999,0.0,3,640,80
A,52,entity,0.5,0.0,3,640,80
A,52,final,0.9975,0.0,3,640,80
A,53,entity,0.5,0.0,3,640,80
A,53,final,0.998125,0.0,3,640,80
A,54,entity,0.5,0.0,3,640,80
A,54,final,0.9975,0.0,3,640,80
A,55,entity,0.5,0.0,3,640,80
A,55,final,0.9975,0.0,3,640,80
A,56,entity,0.5,0.0,3,640,80
A,56,final,0.9975,0.0,3,640,80
A,57,entity,0.5,0.0,3,640,80
A,57,final,0.9975,0.0,3,640,80
A,58,entity,0.5,0.0,3,640,80
A,58,final,0.9975,0.0,3,640,80
A,59,entity,0.5,0.0,3,640,80
A,59,final,0.998125,0.0,3,640,80
A,60,entity,0.49999999999999994,0.0,3,640,80
A,60,final,0.9987499999999999,0.0,3,640,80
A,61,entity,0.5,0.0,3,640,80
A,61,final,0.9987499999999999,0.0,3,640,80
A,62,entity,0.5,0.0,3,640,80
A,62,final,0.9987499999999999,0.0,3,640,80
A,63,entity,0.5,0.0,3,640,80
A,63,final,0.9987499999999999,0.0,3,640,80
A,64,entity,0.5,0.0,3,640,80
A,64,final,0.998125,0.0,3,640,80
A,65,entity,0.5,0.0,3,640,80
A,65,final,0.9975,0.0,3,640,80
A,66,entity,0.5,0.0,3,640,80
A,66,final,0.9975,0.0,3,640,80
A,67,entity,0.5,0.0,3,640,80
A,67,final,0.9975,0.0,3,640,80
A,68,entity,0.5,0.0,3,640,80
A,68,final,0.999375,0.0,3,640,80
A,69,entity,0.5,0.0,3,640,80
A,69,final,0.999375,0.0,3,640,80
A,70,entity,0.5,0.0,3,640,80
A,70,final,0.9987499999999999,0.0,3,640,80
A,71,entity,0.49999999999999994,0.0,3,640,80
A,71,final,0.9987499999999999,0.0,3,640,80
A,72,entity,0.5,0.0,3,640,80
A,72,final,0.9987499999999999,0.0,3,640,80
A,73,entity,0.5,0.0,3,640,80
A,73,final,0.999375,0.0,3,640,80
A,74,entity,0.5,0.0,3,640,80
A,74,final,1.0,0.0,3,640,80
A,75,entity,0.5,0.0,3,640,80
A,75,final,1.0,0.0,3,640,80
A,76,entity,0.5,0.0,3,640,80
A,76,final,1.0,0.0,3,640,80
A,77,entity,0.5,0.0,3,640,80
A,77,final,1.0,0.0,3,640,80
A,78,entity,0.5,0.0,3,640,80
A,78,final,1.0,0.0,3,640,80
A,79,entity,0.5,0.0,3,640,80
A,79,final,1.0,0.0,3,640,80
B,0,entity,0.5,0.0,3,640,80
B,0,final,0.16562500000000002,0.0,3,640,80
B,1,entity,0.5,0.0,3,640,80
B,1,final,0.216875,2.7755575615628914e-17,3,640,80
B,2,entity,0.5,0.0,3,640,80
B,2,final,0.8999999999999999,0.0,3,640,80
B,3,entity,0.5,0.0,3,640,80
B,3,final,1.0,0.0,3,640,80
B,4,entity,0.5,0.0,3,640,80
B,4,final,1.0,0.0,3,640,80
B,5,entity,0.5,0.0,3,640,80
B,5,final,1.0,0.0,3,640,80
B,6,entity,0.5,0.0,3,640,80
B,6,final,1.0,0.0,3,640,80
B,7,entity,0.5,0.0,3,640,80
B,7,final,1.0,0.0,3,640,80
B,8,entity,0.5,0.0,3,640,80
B,8,final,1.0,0.0,3,640,80
B,9,entity,0.5,0.0,3,640,80
B,9,final,1.0,0.0,3,640,80
B,10,entity,0.49999999999999994,0.0,3,640,80
B,10,final,1.0,0.0,3,640,80
B,11,entity,0.5,0.0,3,640,80
B,11,final,1.0,0.0,3,640,80
B,12,entity,0.5,0.0,3,640,80
B,12,final,1.0,0.0,3,640,80
B,13,entity,0.5,0.0,3,640,80
B,13,final,1.0,0.0,3,640,80
B,14,entity,0.5,0.0,3,640,80
B,14,final,1.0,0.0,3,640,80
B,15,entity,0.49999999999999994,0.0,3,640,80
B,15,final,1.0,0.0,3,640,80
B,16,entity,0.49999999999999994,0.0,3,640,80
B,16,final,1.0,0.0,3,640,80
B,17,entity,0.49999999999999994,0.0,3,640,80
B,17,final,1.0,0.0,3,640,80
B,18,entity,0.49999999999999994,0.0,3,640,80
B,18,final,1.0,0.0,3,640,80
B,19,entity,0.49999999999999994,0.0,3,640,80
B,19,final,1.0,0.0,3,640,80
B,20,entity,0.49999999999999994,0.0,3,640,80
B,20,final,1.0,0.0,3,640,80
B,21,entity,0.49999999999999994,0.0,3,640,80
B,21,final,1.0,0.0,3,640,80
B,22,entity,0.5,0.0,3,640,80
B,22,final,1.0,0.0,3,640,80
B,23,entity,0.5,0.0,3,640,80
B,23,final,1.0,0.0,3,640,80
B,24,entity,0.49999999999999994,0.0,3,640,80
B,24,final,1.0,0.0,3,640,80
B,25,entity,0.49999999999999994,0.0,3,640,80
B,25,final,1.0,0.0,3,640,80
B,26,entity,0.49999999999999994,0.0,3,640,80
B,26,final,1.0,0.0,3,640,80
